time,density,altitude,latitude,longitude,local_solar_time
2020-03-18 03:36:00+00:00,7.659158515614305e-14,460385.8351100506,-66.3551957782646,-71.13440738922634,22.72354159332072
2020-03-18 03:36:10+00:00,8.914486000421822e-14,460191.0038891332,-65.72069746625588,-70.99830118470629,22.735393678861477
2020-03-18 03:36:20+00:00,8.017598332575749e-14,459992.057348934,-65.08592486173592,-70.87070324783883,22.746678546515135
2020-03-18 03:36:30+00:00,7.344161029425586e-14,459789.07904230896,-64.45089108271482,-70.75098068647065,22.757438389149765
2020-03-18 03:36:40+00:00,7.808640193260616e-14,459582.1508343462,-63.81560785158147,-70.6385614369631,22.767711344314
2020-03-18 03:36:50+00:00,7.730020868820962e-14,459371.3563197395,-63.180085687758236,-70.5329270491696,22.777531975323576
2020-03-18 03:37:00+00:00,6.974588364044803e-14,459156.7840830097,-62.544334024233905,-70.43360664777767,22.786931673923533
2020-03-18 03:37:10+00:00,4.9480205245120826e-14,458938.5196951851,-61.908361380244074,-70.34017156291993,22.79593901807749
2020-03-18 03:37:20+00:00,6.227044835934566e-14,458716.65407831594,-61.27217539699225,-70.25223071360445,22.80458007982396
2020-03-18 03:37:30+00:00,6.026341601834357e-14,458491.2762020575,-60.63578300352985,-70.16942659137533,22.812878693117348
2020-03-18 03:37:40+00:00,7.759053309563405e-14,458262.47827638686,-59.999190461252006,-70.09143172758777,22.820856689172906
2020-03-18 03:37:50+00:00,9.479313329192617e-14,458030.3541125497,-59.362403436422575,-70.01794558757955,22.8285341036069
2020-03-18 03:38:00+00:00,9.397163024306002e-14,457794.99917848315,-58.72542708833242,-69.9486919146422,22.835929353590622
2020-03-18 03:38:10+00:00,8.29629092012265e-14,457556.50682048965,-58.08826610403433,-69.88341626952399,22.843059401713
2020-03-18 03:38:20+00:00,7.731636019005165e-14,457314.9769546408,-57.45092475013744,-69.82188391067709,22.84993989738242
2020-03-18 03:38:30+00:00,9.782108473819521e-14,457070.50554214325,-56.813406924922276,-69.7638780028655,22.856585296338487
2020-03-18 03:38:40+00:00,9.410496852851508e-14,456823.1942375051,-56.17571618780134,-69.70919782318803,22.863008980079865
2020-03-18 03:38:50+00:00,7.525103834662471e-14,456573.1432281537,-55.53785580359482,-69.65765738678041,22.86922334756973
2020-03-18 03:39:00+00:00,8.568808722086902e-14,456320.4526706878,-54.899828777990564,-69.60908406292181,22.875239907579797
2020-03-18 03:39:10+00:00,1.0552235719907162e-13,456065.226033099,-54.26163786804828,-69.56331741570179,22.881069355809178
2020-03-18 03:39:20+00:00,9.268248265731382e-14,455807.566719803,-53.62328562746849,-69.52020812638237,22.886721646812447
2020-03-18 03:39:30+00:00,9.400847725589635e-14,455547.57871431764,-52.984774401172835,-69.47961704662158,22.89220605720267
2020-03-18 03:39:40+00:00,1.0315663517757588e-13,455285.36711701285,-52.34610637663774,-69.44141436160425,22.897531241244316
2020-03-18 03:39:50+00:00,1.2485762117402946e-13,455021.0391367283,-51.70728358561744,-69.40547877449777,22.902705285450015
2020-03-18 03:40:00+00:00,1.5895666242766986e-13,454754.699921648,-51.068307933115136,-69.37169686790719,22.90773575095119
2020-03-18 03:40:10+00:00,1.8361022840714868e-13,454486.4572048327,-50.42918118482962,-69.33996243201105,22.91262971837456
2020-03-18 03:40:20+00:00,1.7507206638381102e-13,454216.41884157714,-49.78990501565787,-69.3101758751178,22.9173938272229
2020-03-18 03:40:30+00:00,1.7604105592266877e-13,453944.6933040051,-49.15048099867536,-69.28224380552739,22.922034303581356
2020-03-18 03:40:40+00:00,1.7315530950353627e-13,453671.3899054881,-48.51091061044911,-69.25607842831964,22.926557000416665
2020-03-18 03:40:50+00:00,1.746719941577952e-13,453396.6166946031,-47.871195282721075,-69.23159722061747,22.930967419310676
2020-03-18 03:41:00+00:00,1.8044695757600025e-13,453120.48450912815,-47.231336356143885,-69.20872249915092,22.935270739119975
2020-03-18 03:41:10+00:00,1.8905457936647522e-13,452843.10263580736,-46.591335138535484,-69.18738106003235,22.939471840075313
2020-03-18 03:41:20+00:00,1.927884375435016e-13,452564.5825625416,-45.95119287434011,-69.16750387117641,22.943575324372524
2020-03-18 03:41:30+00:00,1.9512975638741453e-13,452285.0349151632,-45.310910764206604,-69.14902577536608,22.94758553579807
2020-03-18 03:41:40+00:00,1.9913690661270732e-13,452004.5698069213,-44.670489976866406,-69.13188519348046,22.951506579598345
2020-03-18 03:41:50+00:00,1.9018711760476036e-13,451723.2986099543,-44.029931672269306,-69.1160239145154,22.95534233656375
2020-03-18 03:42:00+00:00,1.9018749307106393e-13,451441.33395981975,-43.38923695735904,-69.10138683621452,22.959096480149803
2020-03-18 03:42:10+00:00,1.8744662449264126e-13,451158.78623861354,-42.74840694070363,-69.08792176402643,22.962772489965015
2020-03-18 03:42:20+00:00,1.8951298376274965e-13,450875.7671205411,-42.10744270553412,-69.0755791925292,22.96637366642763
2020-03-18 03:42:30+00:00,1.9653564066186724e-13,450592.38825820666,-41.46634534495304,-69.06431219844738,22.969903137727755
2020-03-18 03:42:40+00:00,1.9388557484264657e-13,450308.761167652,-40.82511590791459,-69.05407617530513,22.973363877602186
2020-03-18 03:42:50+00:00,1.786679584512156e-13,450024.998007481,-40.18375547402095,-69.04482876931452,22.97675870969355
2020-03-18 03:43:00+00:00,1.9612740954508193e-13,449741.2087386241,-39.54226511885345,-69.03652968347156,22.98009032044061
2020-03-18 03:43:10+00:00,1.9677467673184105e-13,449457.50659765396,-38.90064590973529,-69.02914056855793,22.983361266429338
2020-03-18 03:43:20+00:00,1.9639463455860927e-13,449174.0002773348,-38.25889892872135,-69.02262490659355,22.98657398224881
2020-03-18 03:43:30+00:00,2.0314201791647072e-13,448890.801040384,-37.617025266542164,-69.01694787904896,22.989730789077598
2020-03-18 03:43:40+00:00,1.8672669360228797e-13,448608.0184548283,-36.97502601393342,-69.01207627657323,22.992833900929174
2020-03-18 03:43:50+00:00,1.7676164940975914e-13,448325.76172106154,-36.332902289729745,-69.00797839962034,22.99588543107832
2020-03-18 03:44:00+00:00,1.4613859576452575e-13,448044.14149024524,-35.690655223739405,-69.00462398071929,22.99888739732816
2020-03-18 03:44:10+00:00,1.4660747657750047e-13,447763.2635536883,-35.048285953680626,-69.00198406019112,23.00184173038069
2020-03-18 03:44:20+00:00,1.6063155621220408e-13,447483.2376660779,-34.40579565495059,-69.00003097369716,23.004750274496857
2020-03-18 03:44:30+00:00,1.5387349115480752e-13,447204.17032304127,-33.763185502281935,-68.99873822329315,23.007614796177997
2020-03-18 03:44:40+00:00,1.4795603428928865e-13,446926.1676949328,-33.120456704065326,-68.99808041115652,23.010436988669007
2020-03-18 03:44:50+00:00,9.250696414903033e-14,446649.3356993301,-32.47761048229508,-68.99803322545863,23.013218472730166
2020-03-18 03:45:00+00:00,9.15726397176324e-14,446373.77902899776,-31.83464808868472,-68.99857332050364,23.015960804712794
2020-03-18 03:45:10+00:00,9.219110213051434e-14,446099.6020818949,-31.19157080006719,-68.99967831931798,23.018665476472176
2020-03-18 03:45:20+00:00,9.048846240434582e-14,445826.9072077479,-30.54837991812287,-69.00132669288875,23.021333923247205
2020-03-18 03:45:30+00:00,1.1938517418267697e-13,445555.79591392726,-29.9050767635603,-69.00349779055921,23.02396752172015
2020-03-18 03:45:40+00:00,1.1653842529442452e-13,445286.3687985381,-29.261662686912594,-69.00617170809049,23.026567598896975
2020-03-18 03:45:50+00:00,1.1707960807380223e-13,445018.7274196148,-28.61813907963943,-69.0093293319191,23.02913542898695
2020-03-18 03:46:00+00:00,1.1828989617556407e-13,444752.96774145495,-27.974507337739407,-69.01295223340328,23.031672240537773
2020-03-18 03:46:10+00:00,1.0790878497724853e-13,444489.1896036789,-27.33076890505393,-69.01702265250918,23.034179217608738
2020-03-18 03:46:20+00:00,,444227.48929766845,-26.686925250468157,-69.02152346344906,23.0366575018904
2020-03-18 03:46:30+00:00,,443967.9603447402,-26.04297786429569,-69.02643815367941,23.03910819419079
2020-03-18 03:46:40+00:00,,443710.69933531806,-25.39892827232521,-69.03175076765831,23.041532358269404
2020-03-18 03:46:50+00:00,1.1136918194452445e-13,443455.79808514565,-24.75477803167281,-69.03744589242542,23.04393102162852
2020-03-18 03:47:00+00:00,1.0075169308176391e-13,443203.34870444424,-24.110528719852063,-69.04350861714323,23.046305178295874
2020-03-18 03:47:10+00:00,9.716249131708145e-14,442953.44178370107,-23.466181943082205,-69.04992453797301,23.048655788584092
2020-03-18 03:47:20+00:00,9.088635292157812e-14,442706.1654485753,-22.821739340283553,-69.05667968890165,23.050983783503842
2020-03-18 03:47:30+00:00,1.1044637689607042e-13,442461.6084638182,-22.177202572533695,-69.06376054864685,23.053290064530756
2020-03-18 03:47:40+00:00,1.1228674201525471e-13,442219.85574381426,-21.532573339903653,-69.07115399037478,23.05557550675877
2020-03-18 03:47:50+00:00,1.090180919690217e-13,441980.9918375006,-20.887853351580617,-69.07884731382863,23.057840956843254
2020-03-18 03:48:00+00:00,1.0961809933377802e-13,441745.0992381526,-20.243044368874326,-69.08682816353634,23.06008723853926
2020-03-18 03:48:10+00:00,1.21978893342428e-13,441512.25715001114,-19.598148155223736,-69.09508452182841,23.06231515299644
2020-03-18 03:48:20+00:00,,441282.54619244114,-18.95316652560442,-69.10360474513674,23.06452547642413
2020-03-18 03:48:30+00:00,,441056.04294391815,-18.308101310228142,-69.11237746600638,23.066718966709473
2020-03-18 03:48:40+00:00,,440832.82115431223,-17.662954368995127,-69.12139162488086,23.0688963611278
2020-03-18 03:48:50+00:00,,440612.95660456177,-17.017727588072706,-69.13063647811884,23.071058375893656
2020-03-18 03:49:00+00:00,1.251531381485647e-13,440396.519487774,-16.372422892709007,-69.14010149906076,23.07320571284137
2020-03-18 03:49:10+00:00,1.1813426348253427e-13,440183.5803095596,-15.72704221456271,-69.14977644149444,23.0753390550229
2020-03-18 03:49:20+00:00,1.1037724710749018e-13,439974.2077367073,-15.081587533878615,-69.15965129376208,23.077459069853987
2020-03-18 03:49:30+00:00,1.1311383995452796e-13,439768.46986971796,-14.43606083371754,-69.16971626379078,23.07956641019608
2020-03-18 03:49:40+00:00,1.1577054356732615e-13,439566.43133832235,-13.790464142736967,-69.17996175121571,23.0816617160454
2020-03-18 03:49:50+00:00,1.2083375000036754e-13,439368.15620488673,-13.144799477366197,-69.19037836705915,23.083745613305247
2020-03-18 03:50:00+00:00,1.3767068589390785e-13,439173.70663434174,-12.499068907064231,-69.20095690971178,23.085818715473273
2020-03-18 03:50:10+00:00,1.520906972706691e-13,438983.1427393537,-11.853274503475886,-69.21168833770854,23.08788162528528
2020-03-18 03:50:20+00:00,1.3732871878860274e-13,438796.52047416754,-11.207418362485488,-69.2225637850906,23.089934933776746
2020-03-18 03:50:30+00:00,,438613.8982233396,-10.561502593868308,-69.23357453406943,23.09197922219027
2020-03-18 03:50:40+00:00,,438435.3266933998,-9.915529330949852,-69.24471200666358,23.094015062363077
2020-03-18 03:50:50+00:00,,438260.8577988716,-9.269500726147571,-69.25596776323263,23.096043016909633
2020-03-18 03:51:00+00:00,,438090.5407631071,-8.62341892969096,-69.26733348885993,23.098063640214423
2020-03-18 03:51:10+00:00,1.3754702007885505e-13,437924.42150589824,-7.977286139142782,-69.27880098609302,23.100077478717495
2020-03-18 03:51:20+00:00,1.1934271265816139e-13,437762.5439500408,-7.331104543773084,-69.29036215313997,23.102085072594793
2020-03-18 03:51:30+00:00,1.231327968125759e-13,437604.9502002811,-6.684876352230525,-69.3020089989717,23.10408695455348
2020-03-18 03:51:40+00:00,1.37552435015546e-13,437451.6813659342,-6.038603793134127,-69.31373360800377,23.106083652270968
2020-03-18 03:51:50+00:00,1.473337161749284e-13,437302.7729425449,-5.392289103509447,-69.32552815151516,23.108075687718575
2020-03-18 03:52:00+00:00,1.4046520964951367e-13,437158.26047251653,-4.745934532924151,-69.33738486770248,23.11006357832165
2020-03-18 03:52:10+00:00,1.3415620152020707e-13,437018.17781327665,-4.09954235532694,-69.34929606349823,23.112047836922812
2020-03-18 03:52:20+00:00,1.2897520644511108e-13,436882.5540926689,-3.453114821205662,-69.36125408690431,23.114028973712074
2020-03-18 03:52:30+00:00,1.306746485849837e-13,436751.4181644013,-2.8066542236842698,-69.37325134690391,23.116007494728787
2020-03-18 03:52:40+00:00,1.3491382316191627e-13,436624.7955875229,-2.1601628507904325,-69.38528028600255,23.117983903777805
2020-03-18 03:52:50+00:00,,436502.71018584445,-1.513643002850778,-69.39733338348695,23.1199587022966
2020-03-18 03:53:00+00:00,,436385.18202406727,-0.8670969773539036,-69.40940313900698,23.1219323902803
2020-03-18 03:53:10+00:00,,436272.2296306966,-0.22052709484881608,-69.42148206019102,23.123905467191797
2020-03-18 03:53:20+00:00,,436163.8700734824,0.4260643247893348,-69.433562670927,23.125878431495266
2020-03-18 03:53:30+00:00,1.3096380214131837e-13,436060.1167432554,1.0726749694691902,-69.44563750292555,23.127851781048545
2020-03-18 03:53:40+00:00,1.222568328310982e-13,435960.98126755375,1.7193024999027064,-69.45769906466754,23.129826015257812
2020-03-18 03:53:50+00:00,1.2729445633065021e-13,435866.4743519183,2.3659445900487595,-69.46973986050887,23.131801633889374
2020-03-18 03:54:00+00:00,1.339780657376325e-13,435776.6023174431,3.012598918230031,-69.48175238715856,23.1337791371344
2020-03-18 03:54:10+00:00,1.3419673128785672e-13,435691.3710519336,3.659263156211595,-69.49372908180605,23.13575902915162
2020-03-18 03:54:20+00:00,1.3441723486392576e-13,435610.78353961,4.30593496854325,-69.50566236673977,23.13774181517882
